Timestamp,What fruit or vegetable?,Weight in grams
5/20/2020 15:31:05,Cuties Mandarin,82
5/20/2020 15:31:13,Cuties Mandarin,79
5/20/2020 15:31:20,Cuties Mandarin,85
5/20/2020 15:31:28,Cuties Mandarin,88
5/20/2020 15:31:34,Cuties Mandarin,78
5/20/2020 15:31:40,Cuties Mandarin,78
5/20/2020 15:31:47,Cuties Mandarin,88
5/20/2020 15:31:54,Cuties Mandarin,82
5/20/2020 15:32:18,Cuties Mandarin,79
5/20/2020 15:32:27,Cuties Mandarin,80
5/20/2020 15:32:41,Cuties Mandarin,78
5/20/2020 15:32:49,Cuties Mandarin,81
5/20/2020 15:32:56,Cuties Mandarin,79
5/20/2020 15:33:04,Cuties Mandarin,77
5/20/2020 15:33:09,Cuties Mandarin,84
5/20/2020 15:33:15,Cuties Mandarin,78
5/20/2020 15:36:32,Yellow Onion,199
5/20/2020 15:36:39,Yellow Onion,246
5/20/2020 15:36:49,Yellow Onion,192
5/20/2020 15:36:56,Yellow Onion,288
5/20/2020 15:37:03,Yellow Onion,225
5/20/2020 15:37:10,Yellow Onion,241
5/20/2020 15:37:17,Yellow Onion,251
5/20/2020 15:37:28,Yellow Onion,176
5/20/2020 15:37:34,Yellow Onion,254
5/29/2020 10:50:06,Cuties Mandarin,108
5/29/2020 10:50:14,Cuties Mandarin,120
5/29/2020 10:50:24,Cuties Mandarin,94
5/29/2020 10:50:33,Cuties Mandarin,111
5/29/2020 10:50:42,Cuties Mandarin,119
5/29/2020 10:50:52,Cuties Mandarin,120
5/29/2020 10:51:00,Cuties Mandarin,110
5/29/2020 10:51:12,Cuties Mandarin,105
5/29/2020 10:51:18,Cuties Mandarin,106
5/29/2020 10:51:25,Cuties Mandarin,122
5/29/2020 10:51:33,Cuties Mandarin,126
5/29/2020 10:51:39,Cuties Mandarin,122
6/5/2020 13:31:26,Cuties Mandarin,133
6/5/2020 13:31:35,Cuties Mandarin,160
6/5/2020 13:31:48,Cuties Mandarin,166
6/5/2020 13:31:56,Cuties Mandarin,143
6/5/2020 13:32:10,Cuties Mandarin,157
6/5/2020 13:32:25,Cuties Mandarin,163
6/5/2020 13:32:37,Cuties Mandarin,145
6/5/2020 13:32:51,Cuties Mandarin,143
6/18/2020 15:59:46,Cuties Mandarin,149
6/18/2020 15:59:56,Cuties Mandarin,135
6/18/2020 16:00:03,Cuties Mandarin,128
6/18/2020 16:00:10,Cuties Mandarin,131
6/18/2020 16:00:21,Cuties Mandarin,144
6/18/2020 16:00:28,Cuties Mandarin,143
6/18/2020 16:00:34,Cuties Mandarin,188
6/18/2020 16:00:43,Cuties Mandarin,147
6/18/2020 16:00:49,Cuties Mandarin,199
